adebayo-taiwo,0,0,0,0,0,0,0,0,0,0,0,0
adeline-bosanquet,1.1,1.0,1.0,1.0,1.9,1.0,3.0,1.0,0.0,0.0,0.0,0.0
adeoyo-jacob-k,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
adeyemi-adewale,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0
adeyemo-sodipo,1.2,1.0,4.8,1.0,1.3,1.0,1.0,10.0,0.0,0.0,0.0,0.0
adil-ahmed,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
adolfo-rosado,1.1,1.0,1.0,2.0,1.0,1.0,2.0,12.0,0.0,3.0,3.0,0.0
adrian-fallwell,1.0,1.0,1.0,1.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0
adrian-jauregui,1.0,1.3,1.0,1.0,1.0,1.0,8.0,24.0,0.0,0.0,0.0,0.0
adrian-kelly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0
adrian-potter,1.2,2.0,1.0,1.0,1.0,1.0,5.0,50.0,0.0,0.0,0.0,0.0
adrian-pusca,1.1,1.0,1.0,1.0,1.6,1.0,2.0,6.0,0.0,0.0,0.0,0.0
adrianne-loggins,2.2,1.5,1.0,4.0,2.2,2.0,3.0,30.0,0.0,1.0,1.0,0.0
adrienne,1.5,1.0,1.0,1.0,1.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0
adriánph,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0
affordablebooks,1.2,1.0,1.0,1.0,2.0,1.0,4.0,15.0,0.0,0.0,0.0,0.0
afrizal,1.0,1.0,1.0,1.0,1.2,1.0,2.0,3.0,0.0,0.0,0.0,0.0
agdonaldson,1.5,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
ah-wai,1.3,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0
ahad-bokhari,1.2,1.0,1.0,1.0,2.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ahaqkhanhaq,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ahmed-bayouda,1.0,1.0,1.0,1.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ahmer-kureishi,1.5,1.0,1.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0
ahxnamc,1.8,2.7,3.5,1.0,3.8,1.0,21.0,99.0,0.0,0.0,0.0,0.0
aicykiss,0,0,0,0,0,0,0,0,0,0,0,0
