b'tp://www.cnn.com',3.4,3.5,3.6,3.5,3.6,3.3,3.3
b'tp://www.usatoday.com',3.5,3.5,3.7,3.6,3.6,3.5,3.5
b'tp://www.latimes.com',3.6,3.6,3.7,3.6,3.7,3.6,3.8
b'tp://www.linktv.org/globalpuls',3.8,3.7,3.7,3.9,3.7,3.9,4.1
b'tp://ettlin.blogspot.com',2.5,2.5,2.5,2.5,3.5,4.1,4.3
b'tp://www.lemonde.fr',2.5,2.5,3.4,3.7,4.0,3.9,3.6
b'tp://www.bbc.co.uk',3.5,3.5,3.7,3.6,3.5,3.6,4.1
b'tp://www.dissidentvoice.org',2.5,2.5,4.0,2.0,3.8,3.1,2.2
b'tp://www.rferl.org',3.5,3.5,3.5,3.5,3.6,3.5,3.6
b'tp://powerlineblog.com',2.6,2.7,2.7,2.3,2.8,2.4,2.2
b'tp://miamiherald.typepad.co',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.azcentral.com/arizonarepublic',3.5,3.6,3.7,3.6,3.3,3.5,3.4
b'tp://www.alternet.org',3.8,3.8,3.7,3.5,3.8,3.7,3.8
b'tp://www.pbs.org/newshour/home.htm',3.8,3.8,3.9,3.9,3.8,3.6,4.2
b'tp://charmcitycurrent.com',2.5,2.5,2.5,2.5,4.0,3.9,4.0
b'tp://www.davidsirota.com',3.6,3.7,3.7,3.2,3.8,3.3,4.3
b'tp://charmcitycurrent.com',2.5,2.5,2.5,2.5,4.0,3.9,4.0
b'tp://www.blogher.org',3.5,3.6,3.5,3.3,3.7,3.2,3.2
b'tp://indyreader.org',2.5,2.5,2.5,2.5,4.0,3.6,2.5
b'tp://www.sfweekly.com',2.5,2.5,3.7,4.2,3.7,3.8,3.6
b'tp://www.smithsonianmag.com',3.8,3.8,3.7,4.3,3.9,3.7,3.9
b'tp://www.americanthinker.com',2.5,2.5,2.2,2.1,2.5,2.6,2.0
b'tp://www.newsweek.com',3.5,3.5,3.6,3.4,3.5,3.4,3.5
b'tp://www.physorg.com',3.4,3.4,3.3,3.3,3.5,3.3,4.3
b'tp://www.iht.com',3.5,3.5,3.5,3.6,3.7,3.5,3.9
b'tp://nationaljournal.com',3.5,3.6,3.7,3.5,3.7,3.5,3.3
b'tp://www.examiner.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://tompaine.com',3.7,3.7,3.9,3.3,3.8,3.7,3.7
b'tp://espn.go.com',4.2,4.4,5.0,3.9,4.4,3.2,3.9
b'tp://billroggio.com',3.9,4.0,4.0,3.8,4.5,3.5,5.0
b'tp://www.nationalgeographic.com',4.0,4.0,4.2,3.9,4.4,4.0,4.2
b'tp://www.splcenter.org',3.3,3.2,2.7,2.5,3.3,3.5,3.6
b'tp://english.aljazeera.net/HomePag',3.6,3.7,3.8,3.7,3.8,3.4,3.4
b'tp://www.wired.com',3.6,3.6,3.8,3.7,3.8,3.6,3.8
b'tp://www.huffingtonpost.com',3.6,3.6,3.7,3.5,3.6,3.5,3.7
b'tp://washingtonindependent.co',3.5,3.5,3.8,3.5,3.7,3.5,3.4
b'tp://desmoinesregister.com/apps/pbcs.dll/frontpag',3.5,3.5,3.9,3.6,3.5,3.2,3.4
b'tp://www.forbes.com',3.3,3.2,3.6,3.2,3.1,3.0,3.4
b'tp://online.wsj.com',3.3,3.4,3.6,3.4,3.4,3.3,3.4
b'tp://www.theatlantic.com',3.7,3.7,3.6,3.6,3.6,3.6,3.8
b'tp://www.baltimoresun.com',3.7,3.8,4.0,3.8,3.8,3.6,4.2
b'tp://www.sltrib.com',3.4,3.5,3.4,3.4,3.4,3.3,3.3
b'tp://pacifica.org',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'p://www.informationclearinghouse.info',3.4,3.4,3.2,2.7,3.8,3.3,3.2
b'tp://pajamasmedia.com',2.8,2.8,2.8,2.6,2.9,2.6,2.4
b'tp://www.huffingtonpost.com/off-the-bus',3.6,3.6,3.5,3.4,3.9,3.6,3.6
b'tp://www.linktv.org/mosai',3.9,3.9,3.7,3.8,4.2,3.9,4.2
b'tp://sportsillustrated.cnn.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.odemagazine.com',3.7,3.8,3.6,3.4,4.0,3.3,3.3
b'tp://www.azcentral.com/arizonarepublic',3.5,3.6,3.7,3.6,3.3,3.5,3.4
b'tp://www.bbc.co.uk',3.5,3.5,3.7,3.6,3.5,3.6,4.1
b'tp://www.therealnews.com',3.7,3.7,3.5,3.6,3.8,3.6,3.6
b'tp://www.latimes.com',3.6,3.6,3.7,3.6,3.7,3.6,3.8
b'tp://www.eurasianet.or',2.5,2.5,3.7,3.3,2.5,3.9,5.0
b'tp://writ.news.findlaw.com',2.5,2.5,4.2,4.1,4.5,3.7,3.0
b'tp://www.american.com',2.5,2.5,3.7,2.5,3.5,3.0,2.5
b'tp://www.ipsnews.net',3.8,3.8,3.9,3.7,4.1,3.5,3.6
b'tp://www.indypendent.org',3.4,3.4,4.1,4.0,3.3,3.3,3.5
b'tp://www.pbs.org',3.8,3.8,3.8,3.7,3.9,3.8,4.3
b'tp://mediamatters.org',3.7,3.7,3.9,3.6,3.9,3.5,3.7
b'tp://www.healthday.com',3.2,3.2,3.0,3.8,3.2,3.1,4.0
b'tp://www.guardian.co.uk',3.6,3.6,3.6,3.6,3.7,3.6,3.9
b'tp://www.foxnews.com',2.6,2.7,3.1,2.8,2.8,2.3,2.1
b'tp://www.nytimes.co',3.7,3.7,3.7,3.7,3.7,3.6,4.0
b'tp://trueslant.com',3.5,3.5,3.8,3.2,3.4,3.3,3.3
b'tp://journalism.nyu.edu/pubzone/weblogs/pressthink',4.0,4.0,3.9,3.9,3.9,3.8,4.1
b'tp://www.ynetnews.com',3.4,3.3,3.6,3.5,3.2,3.4,2.6
b'tp://www.forbes.com',3.3,3.2,3.6,3.2,3.1,3.0,3.4
b'tp://www.opendemocracy.net',3.4,3.4,3.7,3.3,3.5,3.4,3.3
b'tp://www.smh.com.au',3.5,3.5,3.2,3.6,3.8,3.3,3.4
b'tp://www.courant.com',3.7,3.7,3.6,3.7,3.9,3.4,3.2
b'tp://www.thislife.org',4.1,4.0,4.2,4.2,4.0,3.8,4.0
b'tp://www.sacbee.com',3.1,3.2,3.5,4.0,2.5,3.3,3.8
b'tp://baltimorefishbowl.co',2.5,2.5,2.5,2.5,3.0,3.7,4.0
b'tp://www.signonsandiego.com',4.0,3.9,3.7,3.8,4.2,3.8,4.0
b'tp://carfreebaltimore.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.rawstory.com',3.2,3.2,3.3,3.2,3.4,3.2,2.8
b'tp://espn.go.com',4.2,4.4,5.0,3.9,4.4,3.2,3.9
b'tp://www.worldnetdaily.com',3.2,3.2,3.5,3.2,3.4,3.1,3.5
b'tp://www.herald-mail.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.pbs.org/wgbh/pages/frontline',3.9,4.0,4.0,3.9,4.0,4.0,4.6
b'tp://citypaper.co',3.7,3.8,4.0,3.7,3.9,3.5,4.1
b'tp://news.newamericamedia.org/news',3.6,3.6,3.6,3.6,3.8,3.4,3.6
b'tp://www.cbsnews.com',3.5,3.5,3.6,3.6,3.7,3.3,3.6
b'tp://www.jacksonville.com',2.5,2.5,3.2,3.6,3.2,3.3,3.0
b'tp://www.theweekmagazine.com',3.6,3.7,3.5,3.7,3.6,3.7,3.6
b'tp://www.weeklystandard.com',2.8,2.9,2.9,2.5,3.0,2.7,2.5
b'tp://www.scotusblog.co',3.7,3.8,4.1,4.2,3.9,3.5,3.8
b'tp://www.spiegel.de/international',3.6,3.7,3.8,3.6,3.9,3.6,3.8
b'tp://scienceblogs.com',3.4,3.4,3.6,3.4,3.7,3.2,3.0
b'tp://www.nationalreview.com',2.7,2.8,2.7,2.3,2.8,2.8,2.6
b'tp://www.bmoremedia.com',3.4,3.5,4.0,3.8,3.1,2.8,3.1
b'tp://www.electronicintifada.net',2.5,2.5,3.2,3.2,4.0,3.5,3.7
b'tp://www.dallasnews.com',3.5,3.5,3.4,3.4,3.6,3.4,3.5
b'tp://thehill.com',3.2,3.2,3.3,3.3,3.3,3.2,3.3
b'tp://www.sptimes.com/home.shtm',3.8,3.8,4.1,3.9,4.0,3.6,3.7
b'tp://observer.guardian.co.uk',3.8,3.8,3.8,3.7,3.8,3.5,4.0
b'tp://abcnews.go.com',3.3,3.4,3.5,3.5,3.5,3.4,3.5
b'tp://www.niemanlab.org',3.6,3.7,3.7,3.8,3.7,3.3,3.9
b'tp://www.factcheck.org',3.9,3.9,4.1,3.9,4.0,3.9,4.5
b'tp://www.grist.org',3.6,3.6,3.7,3.4,3.8,3.4,3.6
b'tp://www.prospect.org',3.5,3.5,3.7,3.4,3.6,3.5,3.5
b'tp://voiceswithoutvotes.org',3.5,3.5,3.2,3.9,3.7,3.7,3.7
b'tp://www.opednews.com',3.2,3.2,2.9,3.1,3.1,3.2,3.1
b'tp://newassignment.net',3.8,3.9,3.8,3.9,3.7,3.7,3.9
b'tp://www.pcmag.com',2.5,2.5,2.5,3.3,3.9,3.8,4.3
b'tp://www.marylandreporter.co',3.6,3.6,4.0,3.7,3.7,3.4,3.8
b'essions/ne',2.5,2.5,3.8,4.0,3.7,3.3,3.0
b'tp://www.gulfnews.com/home/index.htm',2.5,2.5,2.8,3.2,3.0,3.3,2.5
b'tp://msnbc.msn.com',3.5,3.4,3.5,3.5,3.4,3.3,3.6
b'tp://www.secularhumanism.org/fi',4.0,4.0,3.9,4.0,3.7,3.9,4.3
b'tp://salon.com',3.7,3.8,3.7,3.5,3.8,3.6,3.8
b'tp://baltimore.citybizlist.com/business-news.asp',2.5,2.5,2.5,2.5,3.2,2.8,3.7
b'tp://slate.com',3.6,3.6,3.5,3.5,3.6,3.6,3.7
b'tp://www.scientificamerican.com',3.7,3.7,3.8,3.8,3.9,3.8,4.1
b'tp://www.progressive.org',3.7,3.7,3.5,3.3,3.9,3.7,3.6
b'tp://dneiwert.blogspot.com',3.8,3.8,2.5,3.3,3.9,3.6,4.0
b'tp://www.cbc.ca',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://robertreich.org',3.9,4.0,3.9,3.5,3.7,3.9,4.0
b'tp://www.fas.org/sgp/news/secrecy',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.scholarsandrogues.com',3.6,3.6,3.5,3.4,3.4,3.7,3.8
b'tp://www.philly.com/mld/inquirer',3.4,3.5,3.5,3.4,3.3,3.3,3.4
b'tp://www.forgeflyer.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.guardian.co.uk',3.6,3.6,3.6,3.6,3.7,3.6,3.9
b'tp://dawn.co',3.7,3.7,3.7,3.9,3.9,3.6,3.4
b'tp://www.cleveland.com',3.3,3.4,3.3,3.3,3.4,3.4,3.2
b'tp://news.yahoo.com',3.3,3.4,3.6,3.7,3.5,3.4,3.6
b'tp://www.baltimoremagazine.ne',3.6,3.7,3.8,3.5,3.9,3.3,3.7
b'tp://www.seedmagazine.com',2.5,2.5,3.8,4.2,4.0,3.1,3.0
b'tp://www.grist.org',3.6,3.6,3.7,3.4,3.8,3.4,3.6
b'tp://www.truthdig.com',3.6,3.7,3.6,3.4,3.7,3.4,3.3
b'tp://www.startribune.com',3.3,3.4,3.6,3.0,3.5,3.4,3.9
b'tp://www.buzzmachine.com',3.7,3.8,3.0,3.6,3.8,3.7,3.8
b'tp://www.thesmokinggun.com',2.5,2.5,2.5,3.0,4.0,3.4,3.5
b'tp://maryland-politics.blogspot.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://worldfocus.org',3.5,3.5,3.6,3.5,3.2,3.5,3.7
b'tp://www.telegraph.co.uk',3.2,3.1,3.1,3.0,3.4,3.0,3.1
b'tp://newstandardnews.net',3.6,3.6,4.2,3.6,3.9,3.7,3.6
b'tp://www.baltimoresun.com',3.7,3.8,4.0,3.8,3.8,3.6,4.2
b'tp://www.pcmag.com',2.5,2.5,2.5,3.3,3.9,3.8,4.3
b'tp://www.timesdispatch.com',2.5,2.5,3.7,3.8,2.9,3.0,2.8
b'tp://hnn.us',2.5,2.5,2.5,4.0,4.5,3.3,3.0
b'tp://www.armedforcesjournal.com',3.8,3.8,2.4,3.5,4.0,3.7,3.3
b'tp://en.wikipedia.org/wiki/Main_Pag',4.0,4.0,4.2,4.1,3.7,3.8,4.0
b'tp://www.theglobeandmail.com',3.5,3.5,3.6,3.4,3.7,3.3,3.4
b'tp://www.rockymountainnews.com',3.2,3.3,3.6,3.5,3.3,2.9,3.2
b'tp://www.irinnews.org',3.6,3.7,3.9,3.7,4.0,3.4,3.7
b'tp://news.newamericamedia.org/news',3.6,3.6,3.6,3.6,3.8,3.4,3.6
b'tp://www.baltimoresun.com',3.7,3.8,4.0,3.8,3.8,3.6,4.2
b'tp://www.baltimoresun.com',3.7,3.8,4.0,3.8,3.8,3.6,4.2
b'tp://baltileaks.com',2.5,2.5,2.5,2.5,2.5,2.5,2.5
b'tp://www.philly.com/mld/inquirer',3.4,3.5,3.5,3.4,3.3,3.3,3.4
b'tp://www.usnews.com/usnews/home.ht',3.2,3.3,3.5,3.4,3.2,3.2,3.3
b'tp://news.com.com',3.5,3.5,3.5,3.5,3.7,3.4,3.7
